First Level Heading,Second Level Heading,Third Level Heading,Definition
人口学词典,章节 1 • 基本概念,101,人口学1 (Demography) 是对人口数量、结构2 (structure) 和发展进行科学研究的一门学科。人口学注重人口总特征的量化方面，是人口科学8 (population sciences) 的核心。而人口科学广义上包括许多交叉学科领域，如经济人口学 (104-1)、社会人口学 (104-2)、群体遗传学 (104-4)、历史人口学 (102-1)、数学人口学 (102-6)，以及与法律、医学、流行病学 (423-6)、社会学、心理学、地理学和哲学等领域的交叉。在统计术语中，凡具有某种特征的群体，都可以称之为一个总体3 (population) ，英文中和“人口”一样都用population一词指代。在人口学中，人口4 (population) 一词则是指某一地区的全体居民5 (inhabitants) 。有时这一术语也可用来仅指某一部分居民，严格说来应叫作部分人口6 (sub-population) ，如学龄人口(参阅346-7)、可婚人口(参阅514-2)。人口这一词往往用来更具体地表示规模7 (size) ，即101-4中所说的总体中个体的总数7 (total number) 。
人口学词典,章节 1 • 基本概念,102,"人口学中的某些分支学科有专有名称，以反映其研究对象或其方法论。历史人口学1 (historical demography) 研究有文字记载的过去人口状况。古代人口学2 (paleodemography) 研究没有文字记载的古代人口。叙述人口学3 (descriptive demography) 是用人口统计4 (population statistics 或 demographic statistics) 来阐述人口的数量、地理分布、结构和变化。人口现象间的定量关系以及它们与其他现象间的抽象关系的探讨叫作理论人口学5 (theoretical demography) 或纯粹人口学5 (pure demography) ；因为它应用了各种数学方法，在实践中又被视为数理人口学6 (mathematical demography) 。应用人口分析(103-1)方法对某一实际人口进行的研究，通常叫作人口研究7 (demographic study) ,关注的是人口现况8 (current demographic conditions) ,即，短期和近期的人口变化及其指标。上述各学科都极大地着重于现象的数量方面，而当这些学科只涉及于人口的规模和结构时就被称之为形式人口学9 (formal demography) 。相反，人口研究10 (population studies) 这一更广义的术语还包括对人口事件同社会、经济或其他现象之间关系的探讨。"
人口学词典,章节 1 • 基本概念,103,"人口分析1 (demographic analysis) 是形式人口学的一支，它阐明人口规模和结构对人口现象2 (demographic phenomena) 的影响并区分出各个人口变量的独有作用（这些作用也被称作竞争进程3 (competing processes) ）。它还研究各个人口变量之间的关系以及它们是怎样相互作用以形成人口结构的。同批人分析4 (cohort analysis) （也译为“队列分析”，或称一代人分析4 (generational analysis) ）与横断面分析5 (cross-sectional analysis) （或称时期分析5 (period analysis) ）是要加以区别的。前者是研究一批明确规定的同批人(参阅117-2)在各个时期的状况，后者则是研究若干对列或同批人在某一确定的时段内(如某一年内)所发生的人口现象。
注：同批人分析是一种纵向分析，它研究的是拥有同样特征的人们的总体。个案分析 则是对每个个人进行这种跟踪研究。"
人口学词典,章节 1 • 基本概念,104,"研究人口现象同经济和社会现象之间的关系，形成了人口学的又一分支学科。一些作者采用经济人口学1 (economic demography) 和社会人口学2 (social demography) 这两个术语。人口学也研究人口素质3 (population quality) 。这一术语可用于各种社会属性和个人特征。在另一种稍微不同的意义上，该术语主要是指属于群体遗传学4 (population genetics) 的遗传性状(910-3)的分配和传递。人类生态学5 (human ecology) 研究群落的分布和组织，特别是竞争过程和合作过程的作用，它的部分内容与人口学是共通的。人文地理学7 (human geography) 与人口学的研究领域和方法论更加交融。生物计量学6 (biometry 或 biometrics) 和流行病学8 (epidemiology) 也是如此，它们将统计方法应用于各种形式的生物医学研究。
注：群体遗传学不同于人类遗传学。人类遗传学只研究人类的可遗传特性的传递，而群体遗传学则对植物、动物和人类的遗传特质的分配和传递都加以研究。"
人口学词典,章节 1 • 基本概念,105,最后，还有人口理论1 (population theories) 研究。不要把人口理论同理论人口学(102-5)混淆起来。人口理论用于阐释或者预言人口变化同经济、社会、心理或其他因素变化之间的相互影响；它只是纯粹观念上的探讨。人口理论有时构成人口政策2 (population policy) (参阅930)的基础，人口政策是关于用以影响人口变化的措施的。
人口学词典,章节 1 • 基本概念,110,"人口学中所用的一个基本统计单位1 (statistical unit) 是个人2 (individual或person) 。人头2 (head) 这一词语也曾经使用，但是现在基本上不再使用。户3 (household) 是一社会经济单位，它由生活在一起的个人组成。户在统计上的定义是多种多样的。按照国际通用标准的定义，户是由共同享有住宅(120-1)和主要膳食的一群个人组成的。过去曾经使用灶3 (hearth) 一词，说明过去一户的成员经常共用一个炉灶。户的分类也是因国家不同和调查目的不同而不一样。最常见的分类是把户分为两种类型：个人户4 (private households) 和集体户5 (collective households) 。独居生活的个人，作为单身户6 (one-person household) 。寄膳宿人7 (boarder) 是指与户中其他成员没有亲属关系，而且也不是佣人，但经常在这一户中用膳的人。寄宿人8 (lodger或roomer) 则不常在户中用膳。这两类人在统计时可以列入户中，也可以不列入。
注：当个人户的各个成员是亲属时，则叫作家庭户。 集体户可以包括由住在专门设立的机构(如医院、监狱等)中的人组成的集体户。它也可以包括住在集体宿舍(120-1*)而不是住在机关中的无亲属关系的人。但是，近来国际通用定义把户和户内人口一词仅限为个人户，而对不住在户中的人则另有称呼。"
人口学词典,章节 1 • 基本概念,111,"如果一个个人户(110-4)中住了几个人，则称这些人为该户的成员1 (members of the household) ，其中有一个人是户主2 (head of the household) 。至于以谁为户主，则没有统一规定；有时，户主可以是主要挣钱的人3 (principal earner) 。在多数普查表中，有一个项目是户内各个成员同户主的亲属关系4 (relationship) (114-3*)。这样就能够区分出复合户5 (composite households 或 complex households) 中的各个集群。复合户包含一个以上的生物学家庭或核心家庭(113-1)的成员。复合户可以分解为几个核心6 (nuclei) ，其中有一个是基本核心7 (primary nucleus) ，其余的为从属核心8 (secondary nuclei) 。这些核心更常称为家庭(112-1)。包括户主的家庭被称作基本家庭9 (primary family) ，其余为从属家庭10 (secondary family) 。户的规模11 (household size) 是指户中拥有的人数。
注：householder一词，有时也用以表示户主。户主一词，经常见到，如户主比，是指按年龄、性别或其他特征划分的户主数与相应类别的人口数之比。 核心也叫作姻缘家庭单位。"
人口学词典,章节 1 • 基本概念,112,家庭1 (family) (参阅113和115)是与户不同的另一种单位，必须把家庭同户(110-3)严格区分。家庭主要是根据因结婚、生育或领养而形成或产生的关系所确定的。这些关系都由法律和风俗习惯加以规定。其基本关系是通过婚姻而形成的夫妇关系，以及存在于双亲2 (parents) ，即父亲3 (father) 和母亲4 (mother) 及其子女5 (children) ，即儿子6 (sons) 和女儿7 (daughters) 之间的关系。
人口学词典,章节 1 • 基本概念,113,"双亲及其子女，有时叫作生物家庭1 (biological family) 或核心家庭1 (nuclear family) 。兄弟2 (brothers) 和姐妹3 (sisters) ，不分性别，合称为亲兄弟姐妹4 (sibs) 或称同胞兄弟姐妹4 (siblings) 。只同母或只同父者，称作异父(异母)兄弟5 (half-brothers) 和异父(异母)姐妹6 (half-sisters) 。扩大家庭7 (extended family) 是更大的家庭单位，通常由数个核心家庭合成。纵向扩大家庭8 (vertically extended family) 是指三代及以上家庭成员生活在一起或者非常邻近，而横向扩大家庭9 (horizontally extended family) 是指兄弟姐妹及其配偶子女共同生活在一起。纵向扩大家庭有不同的特殊情况，其中一种是主干家庭10 (stem family) ，指只有一名子女（继承者）在婚后和配偶子女一起继续与父母同住。
注：简单家庭和基本家庭二词，常为生物学家庭和核心家庭二词的同义语。在某种限定的意义上，如在生育率分析中，生物学家庭一词可以是指父母及其亲生子女，而不包括领养的子女。 复合家庭和联合家庭二词，常为扩大家庭的同义词。在最一般的意义上，扩大家庭也可以指一个具有亲属关系的集群的全体成员。"
人口学词典,章节 1 • 基本概念,114,"从同一祖先2 (progenitor或ancestor) 经由共同血统1 (descent) 形成亲属关系的人，叫作血缘亲属3 (blood relatives) 或叫作遗传亲属3 (genetic relatives) ，也使用亲属3 (kin) 和亲属群3 (kinship group) （就总体而言）这样的词语。亲属的亲疏程度4 (degree of relationship) 一般按照经过几代可以追溯到共同的祖先来计算。不过实际上有多种不同的计算方法。每一步的基本关系都是子女对父母的子女关系5 (filial relation) (参阅112-6*和112-7*)，这种关系同父母身份6 (parenthood) (112-2*)，即一对夫妇或一个父亲或一个母亲对其子女7 (offspring或progeny) 的关系正好相反。血缘关系一定要区别于姻亲关系8 (relationship by marriage) ，姻亲关系是夫妇当中的一方同另一方亲属之间的关系。
注：在某些国家中，有姻亲关系的人可以叫作姻亲。"
