First Level Heading,Second Level Heading,Third Level Heading,Definition (Simplified),Definition (Traditional HK)
多种语言人口词典,目录,,,目錄,
多种语言人口词典,引言,历史,,引言,
多种语言人口词典,引言,为什么用网络形式?,,引言,
多种语言人口词典,引言,功能,,引言,
多种语言人口词典,引言,接下来是什么?,,引言,
多种语言人口词典,引言,访问开放的人口学百科全书,,引言,
多种语言人口词典,引言,中间步骤：一个统一的第二版词典,,引言,
多种语言人口词典,引言,人口学百科全书什么时间开放?,,引言,
多种语言人口词典,序言,,,序言,
人口学词典,,Preface to the revised edition of 2008 by Shuzhuo Li (UN) and Xiaochun Qiao,,,
人口学词典,,统一第二版的总序言 (2018),,,
人口学词典,章节 1 • 基本概念,101,人口学1 (Demography) 是对人口数量、结构2 (structure) 和发展进行科学研究的一门学科。人口学注重人口总特征的量化方面，是人口科学8 (population sciences) 的核心。而人口科学广义上包括许多交叉学科领域，如经济人口学 (104-1)、社会人口学 (104-2)、群体遗传学 (104-4)、历史人口学 (102-1)、数学人口学 (102-6)，以及与法律、医学、流行病学 (423-6)、社会学、心理学、地理学和哲学等领域的交叉。在统计术语中，凡具有某种特征的群体，都可以称之为一个总体3 (population) ，英文中和“人口”一样都用population一词指代。在人口学中，人口4 (population) 一词则是指某一地区的全体居民5 (inhabitants) 。有时这一术语也可用来仅指某一部分居民，严格说来应叫作部分人口6 (sub-population) ，如学龄人口(参阅346-7)、可婚人口(参阅514-2)。人口这一词往往用来更具体地表示规模7 (size) ，即101-4中所说的总体中个体的总数7 (total number) 。,章節 1 • 基本概念,人口學1 (Demography) 是對人口數量、結構2 (structure) 和發展進行科學研究的一門學科。人口學注重人口總特徵的量化方面，是人口科學8 (population sciences) 的核心。而人口科學廣義上包括許多交叉學科領域，如經濟人口學 (104-1)、社會人口學 (104-2)、羣體遺傳學 (104-4)、歷史人口學 (102-1)、數學人口學 (102-6)，以及與法律、醫學、流行病學 (423-6)、社會學、心理學、地理學和哲學等領域的交叉。在統計術語中，凡具有某種特徵的羣體，都可以稱之為一個總體3 (population) ，英文中和“人口”一樣都用population一詞指代。在人口學中，人口4 (population) 一詞則是指某一地區的全體居民5 (inhabitants) 。有時這一術語也可用來僅指某一部分居民，嚴格説來應叫作部分人口6 (sub-population) ，如學齡人口(參閲346-7)、可婚人口(參閲514-2)。人口這一詞往往用來更具體地表示規模7 (size) ，即101-4中所説的總體中個體的總數7 (total number) 。
人口学词典,章节 1 • 基本概念,102,"人口学中的某些分支学科有专有名称，以反映其研究对象或其方法论。历史人口学1 (historical demography) 研究有文字记载的过去人口状况。古代人口学2 (paleodemography) 研究没有文字记载的古代人口。叙述人口学3 (descriptive demography) 是用人口统计4 (population statistics 或 demographic statistics) 来阐述人口的数量、地理分布、结构和变化。人口现象间的定量关系以及它们与其他现象间的抽象关系的探讨叫作理论人口学5 (theoretical demography) 或纯粹人口学5 (pure demography) ；因为它应用了各种数学方法，在实践中又被视为数理人口学6 (mathematical demography) 。应用人口分析(103-1)方法对某一实际人口进行的研究，通常叫作人口研究7 (demographic study) ,关注的是人口现况8 (current demographic conditions) ,即，短期和近期的人口变化及其指标。上述各学科都极大地着重于现象的数量方面，而当这些学科只涉及于人口的规模和结构时就被称之为形式人口学9 (formal demography) 。相反，人口研究10 (population studies) 这一更广义的术语还包括对人口事件同社会、经济或其他现象之间关系的探讨。",章節 1 • 基本概念,"人口學中的某些分支學科有專有名稱，以反映其研究對象或其方法論。歷史人口學1 (historical demography) 研究有文字記載的過去人口狀況。古代人口學2 (paleodemography) 研究沒有文字記載的古代人口。敍述人口學3 (descriptive demography) 是用人口統計4 (population statistics 或 demographic statistics) 來闡述人口的數量、地理分佈、結構和變化。人口現象間的定量關係以及它們與其他現象間的抽象關係的探討叫作理論人口學5 (theoretical demography) 或純粹人口學5 (pure demography) ；因為它應用了各種數學方法，在實踐中又被視為數理人口學6 (mathematical demography) 。應用人口分析(103-1)方法對某一實際人口進行的研究，通常叫作人口研究7 (demographic study) ,關注的是人口現況8 (current demographic conditions) ,即，短期和近期的人口變化及其指標。上述各學科都極大地着重於現象的數量方面，而當這些學科只涉及於人口的規模和結構時就被稱之為形式人口學9 (formal demography) 。相反，人口研究10 (population studies) 這一更廣義的術語還包括對人口事件同社會、經濟或其他現象之間關係的探討。"
人口学词典,章节 1 • 基本概念,103,"人口分析1 (demographic analysis) 是形式人口学的一支，它阐明人口规模和结构对人口现象2 (demographic phenomena) 的影响并区分出各个人口变量的独有作用（这些作用也被称作竞争进程3 (competing processes) ）。它还研究各个人口变量之间的关系以及它们是怎样相互作用以形成人口结构的。同批人分析4 (cohort analysis) （也译为“队列分析”，或称一代人分析4 (generational analysis) ）与横断面分析5 (cross-sectional analysis) （或称时期分析5 (period analysis) ）是要加以区别的。前者是研究一批明确规定的同批人(参阅117-2)在各个时期的状况，后者则是研究若干对列或同批人在某一确定的时段内(如某一年内)所发生的人口现象。
备注：同批人分析是一种纵向分析，它研究的是拥有同样特征的人们的总体。个案分析 则是对每个个人进行这种跟踪研究。",章節 1 • 基本概念,"人口分析1 (demographic analysis) 是形式人口學的一支，它闡明人口規模和結構對人口現象2 (demographic phenomena) 的影響並區分出各個人口變量的獨有作用（這些作用也被稱作競爭進程3 (competing processes) ）。它還研究各個人口變量之間的關係以及它們是怎樣相互作用以形成人口結構的。同批人分析4 (cohort analysis) （也譯為“隊列分析”，或稱一代人分析4 (generational analysis) ）與橫斷面分析5 (cross-sectional analysis) （或稱時期分析5 (period analysis) ）是要加以區別的。前者是研究一批明確規定的同批人(參閲117-2)在各個時期的狀況，後者則是研究若干對列或同批人在某一確定的時段內(如某一年內)所發生的人口現象。
備註：同批人分析是一種縱向分析，它研究的是擁有同樣特徵的人們的總體。個案分析 則是對每個個人進行這種跟蹤研究。"
