First Level Heading,Second Level Heading,Third Level Heading,Definition
Multilingual Demographic Dictionary,Table of contents,,
Multilingual Demographic Dictionary,Introduction,History,
Multilingual Demographic Dictionary,Introduction,Why on-line?,
Multilingual Demographic Dictionary,Introduction,Functionality,
Multilingual Demographic Dictionary,Introduction,What is next?,
Multilingual Demographic Dictionary,Introduction,For an unified second edition of the dictionaries as an intermediate step,
Multilingual Demographic Dictionary,Preface,Preface of the first edition (1958),
Multilingual Demographic Dictionary,Preface,Preface of the second edition (1982),
Multilingual Demographic Dictionary,Preface,Preface of the unified second edition,
Multilingual Demographic Dictionary,Notice,Notes on the use of the dictionary,
Multilingual Demographic Dictionary,Notice,Exploring the dictionary on demopaedia.org,
Multilingual Demographic Dictionary,Notice,Citation,
Multilingual Demographic Dictionary,Notice,List of abbreviations,
Multilingual Demographic Dictionary,Chapter 1 • General concepts,101,"Demography1  is the scientific study of human populations primarily with respect to their size, their structure2 and their development; it takes into account the quantitative aspects of their general characteristics. It is the core of the population sciences8★, which in the broadest sense include interdisciplinary fields such as economic demography (104-1), social demography (104-2), population genetics (104-4), historical demography (102-1), mathematical demography (102-6) as well as contributions from the law, medicine, epidemiology (423-6), sociology, psychology, geography and philosophy. In statistical terminology any collection of distinct elements may be called a population3, a word that is synonymous with universe3. However, in demographic usage, the term population4 refers to all of the inhabitants5 of a given area, though on occasion it may be used for part of the inhabitants only [e.g., the school-age population (cf. 346-7), the marriageable population (cf. 514-2)]. Such groups are properly called sub-populations6. The term population is often used to denote more specifically the size7, i.e., the total number7 of the aggregate referred to in no. 101-4.
Note:Demography, n. - demographic, adj. - demographer, n.: a specialist in demography. Population, n. - Note that this term may also be used adjectivally as a synonym for demographic, e.g., in population problems, population analysis, population studies. Inhabitant, n. - inhabit, v.: to occupy as a place of settled residence."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,102,"Certain sub-disciplines within demography have received special names reflecting their objectives or their methodology. Historical demography1 deals with populations of the past for which written records are available. In the absence of such sources, the study of ancient populations takes the name of paleo-demography2 . In descriptive demography3 the numbers, geographical distribution, structure and change of human populations are described by means of population statistics4 or demographic statistics4 . The treatment of quantitative relations among demographic phenomena in abstraction from their association with other phenomena, is called theoretical demography5 or pure demography5 ; because of its resort to various mathematical methods, in practice it is identified with mathematical demography6. A piece of research that applies the tools of demographic analysis (103-1) to an actual population is often called a demographic study7. This study can focus on the current demographic situation8★ or current demographic conditions8★, i.e. the population change and its indicators during a short and recent period. All the preceding disciplines place a great emphasis on the numerical aspects of the phenomena, and are sometimes referred to as formal demography9, when they apply only to the size and structure of the population. In contrast the broader term population studies10 also includes the treatment of relations between demographic events and social, economic or other phenomena."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,103,"Demographic analysis1 is that branch of formal demography which controls for the effect of population size and structure on demographic processes2 and isolates the effects of demographic processes of interest from the others, the latter of which are called competing processes3★. It also studies the relations between demographic variables and how they interact to form population structures. A distinction is made between cohort analysis4 or generational analysis4 which focuses on a well defined cohort (cf. 117-2) followed through time, and cross-sectional analysis5 or period analysis5 which focuses on the demographic phenomena that occur during a precise time interval (such as a calendar year) among several cohorts.
Note:Panel analysis follows the same individuals case by case."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,104,"The study of relations between demographic phenomena on one hand and economic and social phenomena on the other forms another branch of the subject. The terms economic demography1 and social demography2 have been used by some writers. Demography also deals with the study of population quality3. This phrase may be used with reference to all sorts of social and personal characteristics. In a slightly different sense the term primarily refers to the distribution and transmission of hereditary characteristics (910-3) which are the subject of population genetics4 . Human ecology5 is the study of the distribution and organization of communities with attention to the operation of competitive and cooperative processes and has part of its subject matter in common with demography. Fields of research and methodology are even more intertwined in the case of demography and human geography7★. It is also the case for biometry6 or biometrics6 and epidemiology8★ which deal with the application of statistical methods to all forms of biological and medical research.
Note:Population genetics is distinct from human genetics, which deals with the transmission of inheritable characteristics in man: population genetics includes the study of the distribution and transmission of hereditary traits in plant, animal and human populations. Ecology, n. - ecological, adj. - ecologist, n.: a specialist in ecology. Biometry, n. - biometrics, n. - biometric, adj. - biometrician, n.: a specialist in biometry. The terms biostatistics, n. - biostatistical, adj. - and biostatistician, n. are frequently encountered and are synonymous with the terms given for biometry."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,105,"Finally, there is the study of population theories1. This term should not be confused with theoretical demography (102-5). Population theories are designed to explain or predict the interaction between changes in population and economic, social, psychological or other factors; they include purely conceptual treatments. Population theories occasionally form the basis of population policy2 (cf. §930), which deals with measures designed to influence population changes."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,110,"A fundamental statistical unit1 used in demography is the individual2 or person2 . The term head2 has also been employed but this usage is now largely out of date. The household3, a socio-economic unit, consists of individuals who live together. Statistical definitions of the household vary. According to the definition which has been recommended as an international standard a household consists of a group of individuals who share living quarters (120-1) and their principal meals. The term hearth3 has been used in the past, showing that in the past members of the household used to share the same fire. Classifications of households also vary between different countries and different enquiries. Most classifications involve the distinction of two types: private households4 and collective households5 . An individual living by himself is considered to be a one-person household6 . A boarder7 is a person other than a domestic servant, who is unrelated to other members of the household and who habitually takes his meals with the household. A lodger8 or roomer8, on the other hand, does not habitually take his meals with the household. These two categories may or may not be included in the household for statistical purposes.
Note:Private households are called family households when their members are related. Collective  households may include institutional households composed of persons who reside in specifically designated institutions (e.g. hospitals, prisons, etc.). They may also include unrelated persons who reside in group quarters (120-1*) other than institutions. However, recent internationally recommended definitions restrict the terms household and household population to private households, and refer otherwise to persons not living in households."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,111,"When a private household (110-4) contains several persons they are called members of the household1 and one of them will be the head of the household2. There is no universally accepted rule as to who is considered the head of the household; in some cases it may be the principal earner3. On most census schedules there appears a question dealing with the relationship4 (114-3*) of members of the household to its head. This enables a distinction to be made between different groups in composite households5 or complex households5 which contain members of more than one biological family or nuclear family (113-1). A composite or complex household can be disaggregated into several nuclei6, including a primary nucleus7 and secondary nuclei8. The nuclei are more commonly called families (112-1). The primary family9★ is that of the household head when it is defined, the others are called secondary families10★. Household size11 denotes the number of persons included in the household.
Note:The term householder is sometimes used to refer to the head of the household. The term headship is frequently encountered. The nucleus is also called a conjugal family unit."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,112,"The family1 (cf. § 113 and § 115) is a different unit which must be carefully distinguished from the household (110-3). It is defined primarily by reference to relationships which pertain to or arise from marriage, reproduction or adoption, all of which are regulated by law or custom. The fundamental relationships are those established between a couple by marriage — and that existing between a couple as parents2, i.e., father3 and mother4, and their children5, i.e., sons6 and daughters7 .
Note:Parent, n. - parental, adj. - parenthood, n.: the state of being or becoming a parent. Father, n. - paternal, adj. Mother, n. - maternal, adj. Son, n. - filial, adj. Daughter, n. - filial, adj."
