First Level Heading,Second Level Heading,Third Level Heading,Definition
다국어 인구학사전,차례,,
다국어 인구학사전,서문,서문,
다국어 인구학사전,서문,사전이용에 대하여,
다국어 인구학사전,서문,역자,
다국어 인구학사전,장 1 • 일반개념,101,"인구학1 (demography) 은 인구의 크기와 구조2 및 성장에 대해 연구하는 학문으로서 일반적으로 인구의 양적 특성에 대해 설명한다. 인구과학8은 경제인구학 (104-1), 사회인구학 (104-2), 유전인구학 (104-4), 역사인구학 (102-1), 수리인구학 (102-6)과 같은 다학제적 분야의 핵심으로 법학, 의학, 역학(423-6), 사회학, 심리학, 지리학, 철학 등의 분야에 영향을 미치고 있다. 통계학에서 인구3는 보편적 집단3을 칭하는 모집단을 의미한다. 하지만 인구학에서 인구4는 특정지역에 거주하는 주민5 (inhabitant)  모두를 의미하고, 때로는 그 주민의 일부-예를 들어 학령인구 (cf. 346-7), 결혼가능인구(514-2)등을 일컫기도 한다. 그런 집단은 하위인구6 (sub-population) 라고 불린다. 인구는 종종 101-4 에서 언급한 것처럼, 그 집단의 크기7, 즉 집단의 전체 수7를 의미하기도 한다."
다국어 인구학사전,장 1 • 일반개념,102,"인구학의 일부 분야는 목적 또는 방법론에 입각한 특별한 명칭으로 불리고 있다. 역사인구학1 (historical demography) 은 서면기록의 과거 인구를 대상으로 한다. 기록이 거의 없는 고대 인구 연구의 경우는 고대인구학2이라는 명칭으로 불리고 있다. 기술인구학3 (descriptive demography) 은 인구통계4에 의해 기술된 인구 수, 지리적 분포, 구조와 변화를 취급한다. 인구학적이지 않은 다른 사회현상들과 인구요소들 사이의 관계를 수리적으로 논하는 것을 인구이론5 또는 순수인구학5이라고 부르는데, 다양한 수학적 방법을 적용하기 때문에 실제로 수리인구학6과 동일한 것으로 간주하기도 한다. 현재 인구 특성8이나 관련 조건들을 분석하는데 있어 인구학적 분석법 (103-1)을 적용한 학문을 인구학적 연구7라고 부른다. 이 인구학적 연구는 크게 두 가지로 구분되는데, 인구의 크기나 구조의 수리적인 특성에 초점을 두는 것이 형식인구학9이고 사회,경제,혹은 다른 구조적인 특성들과 인구 요소들과의 관계를 규명하는데 초점을 두는 것이 사회인구학10 이다."
다국어 인구학사전,장 1 • 일반개념,103,"인구학적 분석1 은 형식인구학의 한 부분이며, 인구관련 변수들에서 혼란변수3들을 제거하여 인구 현상2의 크기와 구조를 분석하는 것을 의미한다. 동시에 인구 변수 사이의 관계와 그것이 어떻게 상호작용을 하여 인구 구조를 규정하는 지에 대한 방법도 연구한다. 인구학적 분석에서 구분되어야 할 중요한 개념은 동일한 시점에 태어난 코호트(117-2참조)를 대상으로 하는 코호트 분석4 또는 세대 분석4과 여러 코호트를 포함하는 인구집단에서 일정한 시점(예컨대 한 년도)에 발생한 인구학적 사건에 집중하는횡단면 분석5 또는 기간 분석5 이다.
참고：코호트 분석은 시기적으로 같은 속성(예,동일년도 출생)을 지닌 집합체를 다루는 종단연구이다. 패널 분석은 개인들을 여러 시점에서 추적한 결과를 분석하는 연구방법이다."
다국어 인구학사전,장 1 • 일반개념,104,"인구 현상과 경제, 사회적 현상 사이의 관계를 다루는 연구는 또 다른 인구학의 하위분야이다. 경제 인구학1 과 사회 인구학2 이라는 용어는 이미 많은 학자들이 사용해왔다. 인구학은  인구의 질3을 다루기도 하는데, 여기에는 모든 종류의 사회적 개인적 특성들이 포함된다. 이와는 조금 다르게, 인구의 질은  집단 유전학4 (Population genetics) 의 연구대상인 유전 형질 (910-3) 의 분포와 세대 간 전이를 의미하기도 한다. 인구 생태학5은 지역사회 간 경쟁적이고 협력적인 과정에 주목하면서 지역사회의 분포와 조직에 관한 연구를 수행하는 분야인데, 모든 생물학적 혹은 의학적 연구에 통계적 기법을 응용하는 생물측정학6 (biometrics)  과 역학8 (epidemiology) 과 유사하다.
참고：집단 유전학(Population genetics)은 인간의 유전 가능한 형질의 이전에 관한 연구를 수행하는  인류 유전학과는 다르다. 집단 유전학은 인간은 물론 식물과 동물에서 유전적 형질의 분포, 세대 간 전이 등에 관한 연구를 모두 포함한다."
다국어 인구학사전,장 1 • 일반개념,105,"마지막으로,인구이론1 (demographic theory) 이라는 분야이다. 이 용어는이론 인구학 (102-5)과 구분된다. 인구이론은 인구변화와 경제적, 사회적, 심리적 혹은 기타 요인과의 상호작용을 설명하고 예측하기 위해 고안된 것으로 순수하게 개념적인 문제를 다룬다. 인구이론은 종종 인구 변화에 영향을 미치는 인구 정책2 (930참고)의 기초를 제공한다."
다국어 인구학사전,장 1 • 일반개념,110,"인구학에서 사용되는 기본적인 통계 단위1 (statistical unit) 는  개인2 (individual)  또는 사람2 (person) 이다.  머릿수2라는 용어(예를 들어 per head, head count라는 사용법처럼)도 한 때 사용되었으나, 현재는 잘 사용되지 않고 있다. 가구3 (household) 는 함께 거주하는 개인들로 구성된 사회경제적 단위를 의미한다. 국제 표준으로 권고된 정의에 따르면, 가구는 동일한 주거지 (120-1)에서 주요 식사를 함께하는 사람들의 모임을 말한다. 과거에는 영어식 표현에서 household라는 용어 대신 집에서 함께 불을 나눈다는 의미로 난로3 (hearth) 라는 용어도 사용되었다. 가구의 분류는 국가마다 조사마다 다르지만, 일반적으로  일반가구4 (private household) 와 집합가구5 (collective household) 의 두 종류로 나눈다. 혼자 살고 있는 가구는 1인 가구6로 불린다.  하숙인7은 가구의 다른 성원과 혈연 인척 관계를 가지지 않고, 평상시 식사를 세대원과 함께 하는 사람들인데, 가정부와는 구별된다. 한편 셋방사람8 은 하숙인과 비슷하지만, 식사는 따로 하는 사람들이다. 이 두 집단은 통계 목적에 따라 세대원에 포함하기도 포함하지 않기도 한다.
참고：일반가구에서 그 성원이 서로 혈연-인척 관계에 있는 경우 친족 세대라고 부른다. 집합가구는 병원이나 교도소 등과 같이 특정 목적에 의해 사람들이 거주지와 식사를 공유하는 시설가구 를 포함한다. 또한 공동거주주택(예를 들어 기숙사, 사회시설)에서 함께 살고 있지만 서로 혈연-인척 관계가 없는 사람들도 여기에 포함된다. 다만, 최근 국제적으로 권고된 정의에 따르면, 가구 및 가구인구 는 일반가구에 한정되며 그 이외의 경우는 가구를 구성하지 않는 것으로 간주된다."
